"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","ATM_DN.V1_UP","P53_DN.V2_UP","RELA_DN.V1_UP","P53_DN.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","SNF5_DN.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_UP","BRCA1_DN.V1_UP","CTIP_DN.V1_UP","PKCA_DN.V1_UP","MTOR_UP.N4.V1_UP","PTEN_DN.V2_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_UP","MEL18_DN.V1_UP","PTEN_DN.V1_UP","NOTCH_DN.V1_UP","EIF4E_UP","CRX_DN.V1_UP","CRX_NRL_DN.V1_UP","NRL_DN.V1_UP","RB_DN.V1_UP","RB_P107_DN.V1_UP","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"DBF4","HSPA2","NME4","CDC23","TRIP13","PDE5A",,,"SLC38A3","MAT1A","GAL","NUDCD1","BCAS2","MPZL2","BLK","HSD17B4","EPHX1",,,"SLC9A2","NEO1","KRTAP8-1",,,"CLK1","PPARG",,"LOC646762","DPYSL5","RFXANK","SLC2A3","APOBEC3C","SEC23A","PEG10","FBXO3","YBX2","IFI6","KIAA1644","SLC6A9","PDK3",,,"SLC2A5","TSNAXIP1",,"ADAM19","GPRIN1","TNNT1","GDPD3","LIMD2",,,,,"GPER","KSR1",,,,,,,,,,,,"CRTAM","SPOCK1","ANXA2P1","OPRL1",,,"SHCBP1L",,,"CXCR2",,"ANXA3","KCNJ2","BMF","CPEB2",,"ATP9A","C3orf52",,"CBR3",,"NACA2",,,"GPR37","KRT33B",,,,,,"LTBP2"
,"DLGAP5","MMP10","TSPAN1","SHE","ELAVL2","PRG2",,,"HOXC5","MKI67","TCEB3","SNRPA1","RNF41","PDZD11","VIP","ZNF268","PTGFR",,,"GALR2","GINS3","BCL7C",,,,"CORO2A",,"LOC92659","WDR43","PIK3R5","ZMYND19","HSP90B1","CSGALNACT1","SLC7A11","SYNE2","SIM2","ZNF91","NR3C2","CALML4","KRT37",,,"PLXNA3","FGF1",,"BFSP1","NECAB3","TNFRSF12A","TMEM158","PARM1",,,,,"CHRNB1","DHX32",,,,,,,,,,,,"ADA","CPA4","GABRB3","MPZ",,,"PMEPA1",,,"SERPINB8",,"LGR4","CD80","ACSL6","LIMK1",,"AURKB","SLC35A2",,"GAS2",,"BAI1",,,"LOC650293","AKAP12",,,,,,"CYBRD1"
,"KPNA1","TNNT1","SLC6A6","MCM5","GART","NDST2",,,"DTNA","EGR1","RRP9","KATNAL1","RASAL3","GAK","CMBL","MAP2K4","HSD17B8",,,"ASB4","PCDH1","DPYSL4",,,,"OLFML2A",,"PLSCR4","C21orf56","TMEM106C","MEST","TMEM9","P2RX4","TNFAIP8","IMPA2","THNSL2","MTSS1","KCNJ10","C2orf27A","KCNN3",,,"DDX60","GTF2E2",,"CD70","TFF3","COL4A1","AIRE","H1F0",,,,,"IL33","FGF16",,,,,,,,,,,,"CYSLTR1","DHRS3","TM4SF1","P2RY14",,,"DPY19L1",,,"FDXR",,"CR1","LOC284120","KCNJ2","TRIB1",,"CXCL5","ACYP1",,"TM9SF3",,"RANGAP1",,,"TAAR5","LYL1",,,,,,"MPP6"
,"KANK3","RGS16","MXRA7","MTA1","SFRP1","PTH2R",,,"PLCB2","FCGBP","IRAK1","ZNF367","CAMKK1","INSIG2","SMTNL1","NAT1","ETV2",,,"PMEL","NCAPG","CKMT2",,,,"ZNF415",,"LRP4","DPP7","LPO","TERF1","PIGS","PHACTR2","APOD","SAT1","GNL3LP1","SUV420H1","OSGIN1","PKD2L1","TSN",,,"CELA3A","VPS54",,"FGD1","PDGFRB","GKN1","MAST3","LPIN2",,,,,"CELSR2","YBX2",,,,,,,,,,,,"HLA-DRB6","AK4P3","PMM2","PYGM",,,"PMP22",,,"FCGRT",,"HOXD13","ATG14","SLC38A6","ARRDC3",,"PLCH2","STEAP1B",,"JAKMIP3",,"CSPG4",,,"ZEB1","PLAC4",,,,,,"NES"
,"CDV3","PHLDA1","CHST11","NCAM2","STRN3","TRIM38",,,"PHKG2","TFPI2","AMD1","CDC7","GPR44","PDK1","TMEM40","STK38L","MMP2",,,"HSD17B3","STRA6","FOXK1",,,,"AHR",,"HSPA2","DLL3","LOC283194","CCDC132","SAT2","GLTP","PRKCH","SKAP2","COL13A1","CTSO","JUP","STAT5A","HIST1H2AK",,,"KLF15","TRPM6",,"MX1","SLC18A1","CDC42EP1","MARCH9","RASAL2",,,,,"MSMB","ZNF671",,,,,,,,,,,,"RIN2","IL5","OR10J1","GIPR",,,"RNF19B",,,"RNF130",,"BEX2","PSD3","BTBD7","LPAR6",,"MTAP","NFYA",,"FGL1",,"TNP2",,,"GPR124","PPP1R14D",,,,,,"GNAL"
,"DNAJC21","ICAM1","APOBEC3B","OBFC2A","SLC12A1","CLCC1",,,"CCL20","DEFB1","NRBF2","DTYMK","TPD52L3","BPGM","FDFT1","HSPA13","ID2",,,"PPM1H","GTF3C5","PPT1",,,,"SERPINB5",,"RYR1","NOL6","LOC127841","STOML2","MT2A","NUDT4","UPK1A","GRB10","HIST1H3J","FAM129A","FOLR3","FMNL1","SYNE1",,,"SLC47A1","MAST2",,"VPS39","TLE6","SOAT2","BMP10","IGF2BP2",,,,,"TXNIP","OR10H3",,,,,,,,,,,,"JAG1","UTP3","TEX13A","HEG1",,,"PDGFB",,,"GPR183",,"KRT81","C5orf41","LPAR6","NAMPT",,"CAT","FKBP1B",,"FGG",,"NPHS2",,,"MMP9","DYNC1I1",,,,,,"EMR2"
,"FANCM","AOX1","APH1B","MLLT10","NAA30","NINJ1",,,"PTPN3","SLC6A9","TMEM93","ST3GAL4","ADORA2B","PON2","KRBA1","MAPK6","LMOD1",,,"RBFA","PIN1","CYP2S1",,,,"LAMB2",,"EGLN1","UBE2CBP","CD70","ANPEP","HSPA9","SORD","AGAP1","SMAGP","FAM153A","CCL16","NR4A2","TMEM187","EYA2",,,"ORMDL3","GH1",,"CABIN1","MOCS1","ZFPM1","CRAT","TNNC1",,,,,"RTP4","BBS10",,,,,,,,,,,,"ITGAL","KIAA1539","PLEC","SLCO1A2",,,"CSF1R",,,"COL6A3",,"DSG2","LCOR","HIST1H2AE","NLRC4",,"SMARCD3","SCO2",,"ZNF430",,"JAM2",,,"CPA2","SIGLEC15",,,,,,"SCN5A"
,"ARHGAP8","SCCPDH","GBF1","C7orf70","DIDO1","SEPT11",,,"CHRNA5","HSPA1B","SLC37A4","NETO2","NFKB2","CCNG2","PLAT","ANAPC13","FKBP6",,,"C3AR1","GZMK","KCND3",,,,"ZNF185",,"RTN4RL1","IMP5","GPR15","FNBP1","TAF1D","DPYSL2","RFTN1","DBNDD2","CCL8","ZNF177","ABLIM3","GUCY1A3","TNNC1",,,"OAS2","OPRL1",,"COPG2","CACNB3","GSN","MDFI","UNC5B",,,,,"LOC644872","CDKL1",,,,,,,,,,,,"TNFRSF9","PAX1","CXCL3","TAS2R16",,,"IGLV2-14",,,"ZNF277",,"ADCY3","FAM13A","LRRC37A2","NECAP1",,"EHBP1L1","PHF10",,"L1CAM",,"ASGR1",,,"IL36A","LY96",,,,,,"HEY2"
,"PTPN21","HOMER1","SDCBP","CR2","ZNF638","ITGA5",,,"TROAP","CYP2A7","DOT1L","CDK1","C3orf37","BID","ALPK2","KIAA1033","SUPT6H",,,"KCNB1","PLCB3","PMF1",,,,"C4BPB",,"ATAD2","LOC653605","FAM123B","LAMB2","DPAGT1","UROS","TGFB1I1","LOC653127","RFPL2","CDRT4","TUB","GIMAP4","ACADL",,,"RAB30","MARS",,"ADARB2","C4BPA","HLA-DRB1","EGLN3","NDRG1",,,,,"SLC9A2","CIB2",,,,,,,,,,,,"ARL4C","FAM3C","GABARAPL3","TRMU",,,"NCOR2",,,"TPK1",,"VMA21","MTMR9","NINJ2","RAB12",,"BORA","TEX2",,"FLJ22184",,"EPHA3",,,"ETV2","KCNAB3",,,,,,"KRT76"
,"CHEK1","NT5C2","SLC9A3R2","TMPRSS2","METAP1","NUCB1",,,"RGS3","COL4A2","SHB","TSPAN13","MVP","UBE2C","MBL1P","CDC27","PAX1",,,"TMEM156","MAGEC3","EYA2",,,,"MEIS2",,"ESX1","C20orf27","ATP8A2","PRPS1","NME1","PPFIA3","CUEDC1","ERAP1","C22orf46","SLC5A5","HYAL3","UPK3B","UHRF2",,,"LPAR3","GK",,"LOC79999","TEX101","PCDH1","ZDHHC6","CUBN",,,,,"COPG2","ITPKC",,,,,,,,,,,,"PF4V1","C9","TRMU","ABCA6",,,"LIPG",,,"KIAA1279",,"C9orf66","GCNT2","SNX16","NCF2",,"BCL3","GINS1",,"PTPRZ1",,"GRTP1",,,"ANKRD34C","ETV4",,,,,,"PRKAA2"
,"SPEF1","PMAIP1","PACSIN3","CLCN6","FMR1NB","FRAT2",,,"DUSP4","MYT1","PRKRIR","WSB2","IGF1R","GTF2IRD1","CDKN2B","RRS1","AKAP3",,,"CTRL","GDF10","INHBB",,,,"MARK2",,"RASD1","OR10H1","C10orf92","CD52","PDE4DIP","HRAS","KAL1","ZNF331","MMP25","RASL12","SMPDL3A","PTGIR","RASSF2",,,"CCL24","OBFC1",,"LIMD1","TYMP","TUFT1","HES6","POSTN",,,,,"KIR2DL4","TMEM59L",,,,,,,,,,,,"PTGER4","OR7C1","CLDN5","CT62",,,"IL19",,,"FCER1G",,"TRHDE","ZEB2","MYEF2","STX6",,"PLIN3","CREM",,"RANP6",,"CD8B",,,"IDI2-AS1","SPANXC",,,,,,"RPP25"
,"FEN1","CBLB","PRPS1","ABCB10","HIGD1A","FKBP1A",,,"PPP3CB","HBA2","ACTR3","CDH2","RASD1","DLG4","AP2B1","CD2AP","TUB",,,"TNFRSF13B","KIR2DS1","MKLN1",,,,"SH3GLB1",,"DDX11L2","ABCC6P2","ESR2","CSF1R","MAEA","RAB27A","MYO5A","SCG2","PAX6","CORO2B","BHMT2","PSMB8","ARL4A",,,"DHRS1","GLRX2",,"CLEC7A","ZIC2","AMOT","IGSF8","EVX1",,,,,"HTR1B","RUNX2",,,,,,,,,,,,"EVI2B","NR2F2","REST","ANKRD7",,,"ELL2",,,"NGRN",,"SLC8A1","ZCCHC14","OLIG1","C20orf194",,"TRPC1","INPP5F",,"ITGB8",,"COL4A6",,,"ST18","IL1B",,,,,,"NMNAT2"
,"INO80C","KLF4","NDRG1","CNOT2","MUC1","ETV2",,,"BIRC2","GLB1","PNP","C15orf63","NIN","RHOV","SCGB3A2","SUCLA2","ARC",,,"ITGA6","GALR2","KRT27",,,,"CNR1",,"DHRS13","LELP1","LAMC3","LIX1","HDLBP","SERHL2","C11orf95","NTAN1","LPAR3","TSPAN13","ACCN1","CFB","DRD1",,,"ICAM5","FAH",,"KREMEN2","GRINA","SHROOM3","ECE1","SIL1",,,,,"TONSL","FGF13",,,,,,,,,,,,"NYNRIN","NOP2","LMO3","ANXA2P1",,,"DIEXF",,,"OAT",,"ZNF623","SIGLEC9","CRK","NKIRAS1",,"JAK2","RAB21",,"KIAA0232",,"MC5R",,,"KCNJ8","NGF",,,,,,"ROR2"
,"UBN1","KIAA0247","HEY1","BCKDHA","NR5A2","PET112",,,"RHO","HAGH","MRPS35","C12orf24","PSMD7","PREP","LSS","MBTPS2","CCL7",,,"FAM107A","RNF2","CFC1",,,,"LTBP1",,"ANKRD43","MTFP1","NAALADL1","RABAC1","DIP2B","PDE8A","EFHD2","CLMN","ZBTB10","CLGN","ALDH1A2","ECM2","ELN",,,"IL15","SLC25A32",,"INSL3","ENPP5","MYO7A","ACSS1","VAMP8",,,,,"TNNT3","DGKE",,,,,,,,,,,,"PTPN22","CCNE1","AK4P3","DLX6",,,"CDKN2B",,,"BAX",,"STAR","SIPA1L2","MPPED2","KBTBD8",,"FAM173A","SNCA",,"DDC",,"FAM205B",,,"PRL","PRG3",,,,,,"TH"
,"PIM1","MAP2K4","BMPR1B","PHTF2","CREM","NRL",,,"ZIC1","GGT5","USP36","PBK","PPP1R3F","PTPRJ","TMPRSS4","COL8A1","DTX4",,,"FAT4","FOXL2","CCRL1",,,,"SLIT2",,"TLCD1","TMEM132B","PPP1R3B","COL15A1","MAGOH","AQP3","CRAT","PTMS","ADAP2","PDZRN4","NPC1L1","ST18","MRAS",,,"NXNL1","GCH1",,"CETN1","EVPL","SGCE","GPA33","TMEM98",,,,,"TGFBR3","CDKAL1",,,,,,,,,,,,"SLC31A2","SLAMF7","ABTB2","ELOVL4",,,"ZFP36L1",,,"NCF2",,"OXCT2","DOLK","CALHM2","BCL6",,"GLS2","PLEKHF2",,"IDH1",,"FGF20",,,"ACOX2","TMEM176B",,,,,,"IGFBP6"
,"KIFC1","ARID5B","CSTA","ATL2","ZMYM6","CTSF",,,"HK3","NEK3","VGLL4","DCBLD1","TTLL1","IL1F10","RGS11","MTM1","ME3",,,"CDKN3","FAM102A","HTRA3",,,,"INPP1",,"CDK19","LAS1L","RAB3A","LRP5","DDX23","PBK","PARM1","HSPA2","ZNF184","KLK6","UCP1","GRP","ERVK-6",,,"SLC20A1","HYAL3",,"BCAS4","CHRNB1","MYO5B","OPRD1","TNNT2",,,,,"PRSS50","PRSS50",,,,,,,,,,,,"CD9","NUDT13","GFAP","OLFM1",,,"ABCG1",,,"GAS7",,"C10orf95","PHLDA1","FGL2","FAM20C",,"PELI1","RNF38",,"IDE",,"ZEB1",,,"MMP10","MB",,,,,,"GATA3"
,"PHF12","ENPP1","GDPD3","AZIN1","PTPRC","FZD9",,,"RUNX1","RABEPK",,"GTF3C6","TMEM186","TPD52L3","NIPSNAP3A","TGFBR3","NEDD9",,,"PCDHA9","CARD9","NLRX1",,,,"SCG2",,"C11orf75","IPO4","PACSIN3","WAS","C11orf71","KLHDC2","L1CAM","FAM13A","TYR","SERINC5","NOVA1","CXCR3","TNFSF4",,,"NMT2","SLC6A6",,"EPHB6","DBNDD2","TDRD7","LIMD2","MYLIP",,,,,"CLTCL1","C9orf38",,,,,,,,,,,,"PTPRG","CCDC85B","EHD2","GABRB3",,,"ANKLE2",,,"CDK8",,"FANCE","TMEM159","RCBTB2","VSIG4",,"SCAND1","HBEGF",,"AKR1C1",,"ACTA2",,,"AURKC","L1TD1",,,,,,"IL11"
,"PLK4","ITGA2","CREB3L2","UPF3B","CUL4A","PDE4A",,,"LOC650946","CHGA",,"PSMC3","KCTD9","PTRH1","GSS","PLA2G4A","CSHL1",,,"SLCO1B1","CNTN5","RPAP3",,,,"ZNF160",,"CHST2","PPRC1","ACAP1","PPP4C","MRPL15","FAM46C","NUMB","SDCBP","LRRC31","BACH1","SLC19A2","BTN3A2","PRR3",,,"ZIM3","VPS33B",,"ZNF157","DRAM2","RGNEF","RUNX1","IER5",,,,,"ACSS3","NEU2",,,,,,,,,,,,"SESN1","SMEK2","PUS7","LOC440334",,,"FERMT2",,,"SEPX1",,"PRG4","PPP1R15A","PLCXD2","LMBRD2",,"SMARCA1","C3orf14",,"SHISA2",,"C9orf114",,,"VEGFC","DCAF13",,,,,,"ADAMTS8"
,"MSH3","SLC12A2","ANKMY2","LOXL2","THOP1","CTBP2",,,"TFAP2A","CPT2",,"KISS1","BMP8B","ACOT9","SLC41A3","MARCH7","ABCB10",,,"CHCHD7","LILRA5","PKIB",,,,"MAP3K5",,"MBOAT1","SLMO1","UBIAD1","PRRX2","CRABP1","HMGCS1","EHBP1L1","ME2","KLHL1","CIDEA","MEGF9","EIF2C4","EFHA1",,,"PPAPDC3","PLS1",,"ATF6","ECE2","COL2A1","AGER","ZFPM1",,,,,"KLK8","SLC6A14",,,,,,,,,,,,"PRG3","CALML5","PTH1R","DYRK1B",,,"PLEKHA1",,,"CSNK1G3",,"CXorf56","MYOZ2","FGR","KIAA0895",,"RPS6KA5","CRIP2",,"ABHD4",,"CCR2",,,"TGM2","MGC4771",,,,,,"CXCR2"
,"CDR2L","ARFGAP3","SAT1","OXNAD1","SPATA5","CLK1",,,"DGKD","TSC2",,"CIAPIN1","AKAP2","C9orf89","CD300LD","UPF2","C17orf108",,,"INSL6","CBX5","SLN",,,,"KLF5",,"LOC645030","ISOC2","APBA1","ATP1B1","TBC1D15","DSC2","TP53I11","DHTKD1","HCAR3","SEMA6D","WDR37","NEIL1","SLC22A5",,,"ELMOD3","BNIP3",,"DCXR","IL15","KRT19","PARP6","MACROD1",,,,,"NGB","MAP3K1",,,,,,,,,,,,"GNB5","TNFAIP8","SPATA2L","KRT24",,,"CYP24A1",,,"GDF15",,"SYDE2","C5orf20","SYNJ2BP","MAP4K3",,"MUM1","TNFAIP2",,"MCM3",,"CYP2B7P1",,,"TNFSF15","ZNRF4",,,,,,"TMEM158"
,"CCRN4L","NFKB2","MVD","KIF1B","KIF2C","PAQR4",,,"ZNF787","RASGRF1",,"CKAP2","HCN2","ASB11","CCDC86","PCDHA12","IQCK",,,"LRRTM2","COL2A1","CCR3",,,,"DMD",,"SHISA8","ESF1","IGFALS","MS4A6C","PLSCR1","CEP76","NEDD9","SLC2A6","IL5","REV3L","COLEC10","TET3","EPHA3",,,"TEF","SSTR2",,"HHLA1","NHSL1","FOXQ1","ARHGEF3","FRAT2",,,,,"MX2","ZBBX",,,,,,,,,,,,"ATP8B1","NOX4","FOSL2","EVX1",,,"CHST3",,,"ARL4C",,"TCTA","UBE2W","SERAC1","TGIF1",,"CRYZ","ATP10D",,"MDFIC",,"SERPINB3",,,"CSN2","FBXO4",,,,,,"FNBP1"
,"NOP56","JUNB","PTGER4","FCGRT","ARIH1","L1CAM",,,"CDS1","THBD",,"MET","ZNF295","HN1","STMN1","RNF13","LONP2",,,"NLGN1","SERPINB2","TEF",,,,"BCAR3",,"CDK5R1","HSPE1","TCEAL3","GTF2A1","CEP41","PJA2","ERO1L","NPC2","TRPC6","CDKN1C","VSNL1","ALDH1A2","BEAN1",,,"PHKA1","CUTC",,"EYA2","FOSL1","GNG12","ARAP1","TSPAN7",,,,,"JAG1","SLC5A1",,,,,,,,,,,,"KYNU","HRH3","HOXA11","CD6",,,"JAM2",,,"TSEN34",,"ICK","TPSAB1","HIST1H3H","SCG2",,"CTNNBL1","EMP3",,"PSAT1P1",,"TUBA8",,,"TAGLN3","RBM",,,,,,"CHGB"
,"PAIP2B","CADPS2","GNAI2","RETN","XPO1","ACOX3",,,"THOC1","BMP1",,"SSTR1","CCL6","MMP15",,"AGA","PLTP",,,"FOXH1","ANKRD34C","OLR1",,,,"ASS1",,"TLE2","NIP7","LYVE1","IFIT1","NFX1","NOVA1","ADM","SCARA3","DUSP2","NKIRAS2","ANGPTL2","SERGEF","MVD",,,,"SLC4A1AP",,"IRX4","ZBTB7C","SERPINE2",,"SLC27A3",,,,,"KLRC4","NME5",,,,,,,,,,,,"CEACAM6","KIF1C","KLF6","SMPX",,,"FOXF2",,,"ERLIN2",,"C22orf29","UPP1","CTSK","C7orf74",,"SMTN","CD83",,"PSAT1",,"ASGR2",,,"PNMA2","GPR124",,,,,,"PRPH"
,"UPK2","TMEM121","NOTCH3","FTSJ3","TNFSF10","ST8SIA3",,,"PDE4C","PTPN21",,"PSMD14","C4orf49","FDFT1",,"BACH1","GABRA5",,,"DYSF","PNLIP","SYT9",,,,"UGT8",,"RHOBTB2","NR2C2AP","LOC100289650","HAPLN2","NDUFB5","NUCB2","ULBP2","PSMB10","KLHL28","OSGIN1","TMEM100","POU2F1","PAPSS2",,,,"TMEM135",,"CREB5","NME3","PDIA5",,"LGMN",,,,,"MAP3K5","TGFB1I1",,,,,,,,,,,,"BCL6","TPST2","NR2F2","C1orf159",,,"OVOL2",,,"HDAC4",,"ASNS","ACP5","AMN1","ZNF222",,"MPI","CCNJL",,"HLA-DQB1",,"SEMA5A",,,"GFI1","PPP1R15A",,,,,,"MLN"
,"TPM2","DBNDD2","BNIP3L","C9orf69","MIS18BP1","VGF",,,"MGAT5","CETP",,,"GUSB",,,"DNAJC3","IFT140",,,"TBC1D19","NEDD9","KLRD1",,,,"OIP5",,"SIX5","AMPD2","APC2","ABCE1","SELENBP1","NUMB","GUCY1B3","CRIM1","CCBP2","GPC5","KCNA1","ZRSR1","HIST1H2BN",,,,"STX4",,"CYP3A43","BNIPL","GGTA1P",,"PRSS12",,,,,"LRCH1","PIM2",,,,,,,,,,,,"SDC4","ZBBX","SLC2A3","FAM107A",,,"CYP2J2",,,"ZNF394",,"FAHD2A","LACC1","RIT1","SNX16",,"BCL2L1","MKL2",,"LOC100133583",,"ESRRG",,,"FEZF2","TNNT2",,,,,,"TNFRSF1B"
,"DMBT1","SPTLC2","METRN","FNTB","HNRNPU-AS1","PPP3CA",,,"BRF1","RXRB",,,"FXYD4",,,"PPIG","CD79A",,,"EFNB2","DNASE2B","GNMT",,,,"NR2F2",,"TMEM201","TRNAU1AP","CHCHD10","EWSR1","SLC35A4","GNA14","ST3GAL4","MTMR2","TRABD","CDHR2","POPDC3","OTUB2","MMP17",,,,"YRDC",,"HOXC5","TXNDC16","VAMP8",,"PLXNB2",,,,,"COL15A1","C17orf88",,,,,,,,,,,,"F13A1","GPT","OR7E47P","GDF9",,,"FAM91A2",,,"CARD9",,"PROSER1","OSTM1","VSIG4","SLC38A6",,"BEX4","AVL9",,"WDR87",,"FBXO4",,,"PRDM14","PIWIL1",,,,,,"BMP7"
,"LARP4B","RPS6KA3","ATXN1",,"C8orf85","ARHGEF15",,,"AHR","GADD45A",,,"DSCAM",,,"TSPAN8","DENND3",,,"OR2B6","NFKBIB","CCDC86",,,,"LHFPL2",,"TAS2R38","CCDC124","HMX1","FDPS","ALAS1","MYO5A","FHL1","CEP70","PTGDS","KCNQ2","POMT2","PPYR1","ZFHX2",,,,"SYNPO",,"ANKRD1","NR1H3","CLDN7",,"LMBRD1",,,,,"KALRN","ATP1B2",,,,,,,,,,,,"HCK","ZNF614","PRSS50","ST8SIA3",,,"FGF1",,,"CYTIP",,"ATP6V1C2","NEAT1","OR52K3P","ACSM3",,"QPRT","TP73-AS1",,"LILRA5",,"HRH3",,,"PTGS2","TIGD6",,,,,,"CHST10"
,"SMAD1","S100P","MPI",,"KRTAP6-3","RAD9A",,,"NPR2","ARCN1",,,"VILL",,,"SLC38A6","DYRK1B",,,"UGT2A1","GUCA1A","IGF2",,,,"MMP1",,"SNRNP25","CAPS","AADAC","PPIL2","COG6","B4GALT5","MXRA7","DHRS7","HIC2","ENPP2","ZNF324","UCP1","ARSF",,,,"IDH3A",,"PQLC3","EPHB3","SEPN1",,"PURG",,,,,"ADRA2A","KCNK12",,,,,,,,,,,,"PRTN3","INHBB","TNFRSF1B","CLDN7",,,"TNS4",,,"PLK2",,"KLF5","JAKMIP2","NAMPT","BMF",,"STK4","DERA",,"CALCA",,"NPC1L1",,,"IL1R2","PRRX1",,,,,,"FNDC4"
,"MCM4","SNAPC1","AQP3",,"SARDH","HPGD",,,"DRD5","ITGB1BP1",,,"PDE10A",,,"ADAM9","HDAC5",,,"B3GNT3","BRAP","HYOU1",,,,"CAND2",,"LOC283454","REPIN1","RARRES3","ELN","COL6A3","NUP43","NME4","SOCS2","HYAL3","ACAP1","ANKH","HIGD1B","LOC339290",,,,"PHGDH",,"CCDC87","CORO2A","SNAI1",,"PRKACB",,,,,"SORBS2","SETD1A",,,,,,,,,,,,"TNFRSF10C","PLXNA3","SPRY2","TBC1D19",,,"MPZL2",,,"CHUK",,"ACAP1","STX6","TBC1D8","FOXQ1",,"CORO1A","NFKBIE",,"FIGF",,"INA",,,"KCNAB3","COL9A3",,,,,,"TCHH"
,"WRN","ETHE1","EPB41L4A",,"HSPB2","USP9Y",,,"POLR2C","CHRNA5",,,"SLC39A8",,,"HNRNPA3","CACNB1",,,"RSAD2","PRMT8","HOXD10",,,,"CAT",,"LOC283658","EXOSC9","LEKR1",,"NLRP1","CD302","SPTLC2","ACSL1","FAM86C1","GSTA3","PTPRB","ZNF324","MPL",,,,"ITPR1",,"PNMT","ADCYAP1R1","BMP2",,"TRAPPC6A",,,,,"TUSC3","C20orf46",,,,,,,,,,,,"SIRPA","PDE4A","USP36","NMBR",,,"COL16A1",,,"UGGT2",,"NEDD4","TGIF1","GK3P","JUNB",,"INPP5F","DAB2",,"SRXN1",,"ATRNL1",,,"ZNF529","FBP1",,,,,,"TULP2"
,"MAPK14","IMPA1","KCNMA1",,"DDX3X","HCRTR2",,,"ARL3","SERPINB10",,,"DAGLB",,,"TAF9","PHLDA1",,,"IL20RA","GRAP","GHRH",,,,"TPBG",,"KLF16","PUS7L","CALML5",,"SSR3","EPB41L1","SPAG1","HSD17B11","C7orf63","FLJ11827","CDH13","OSTM1","SPICE1",,,,"PJA1",,"TCEB3B","SCNN1A","WLS",,"SATB1",,,,,"BDNF","ZNF507",,,,,,,,,,,,"ITGAM","ETV4","FOXP3","METTL19",,,"WNT16",,,"CHI3L1",,"PIGW","IL10","AFF4","SYNJ1",,"GLMN","C9orf3",,"SFTPA1",,"AKAP6",,,"DLGAP2","SCGB1D1",,,,,,"WWC2"
